Q,A
자깅 나 또 지각 오늘은 좀 대지각이어서 ㅠㅠ 얼른 가는중 흐잉 나 진짜 왜 알람 소리를 못 듣지ㅠㅠ ㅋㅋㅅㅂ,그르게 어제 분명 잠도 많이 잤는데 왜 요즘 알람소리 못듣지?? 어제 오늘 점장님이라 진짜 다행이다 쏘 쿨가이.. 오늘만 힘내요 벌써 2시간 지났어 나 이제 나왔어 자기 오늘 지각해가지고 눈치 살살 보고 있는거 아니지?ㅋㅋㅋㅋ 기죽지마~
절대 ㅅㅂ 날 기죽게 내버려두지않으심 수다 전나 떨다가 은행가는중임,ㅋㅋㅋㅋㅋㅋㅋㅋ 역시 점장님 👍
자깅 학교 잘다녀왕~~~,다녀오겠습니다~ 허무하게 쉅 끝 오늘 실습이라 오전수업은 빨리 끝났어 ㅋㅋㅋ 이제 11시반에 밥먹고 3시 강의ㅣ 들으러강ㅅ
어잉? 개일찍 끝났넹 식당이 11시반에 문열어?? 오늘 학식 머그려구?? 난 11시반에 쉬어,타이밍 무야.. 오늘 다른 동기가 밥 같이 먹자고 해서 그 친구 11시 반에 수업 끝나
ㅇㅎ,그래서 그때 먹기로 한거야
구랭,자기 쉬는시간되면 말해줘
웅 둘이서 먹어?,음 4명?
ㅇㅎ 걔네 다??,아니아ㅣㄴ 그 선배 한명껴서
머,먹기로 했어
걔네랑 선배 한명? 여자?,응 아니 남자
ㅋㅋㅋㅌㅋㅋㅋㅋ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 자기야
여자랑 밥먹으면 죽어~,대학교 여자 없어 다 남자밭이야
그건 아니지 있긴하자나 그럼 지금은 뭐하고있어,(내가 아는사람) 지금 도서관 와서 공부중
ㅋㅋㅋ긔여워ㅠㅠㅠㅠ 흐잉 ㅠㅠ 보고싶다 나 어제 진짜 기억삭제야 어케잤누 너 언제갔노,요때 갔지 2시 42분이네 어제 11시반인가? 알람 맞춰놓고 잤잖아 근데 알람소리 듣자마자 내가 또 껐더라고 ㅋㅋㅋㅋㅋㅋ 그러고 다시 잠
헐랭 ㅠㅠ 자기두 늦게 갔네ㅠㅠ 나 암것도 못들었어 진짜로 ㅅㅂ 내 아침알람까지 ㄹㅇ 피곤하긴한가봐 점장님한테도 알람소리가 안들린다 그랬더니 ㅅㅂ 점장님 알람 20개 맞춰놓고잔대 ㅋㅋㅋ 개웃겨ㅠ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 피곤할만혀 다들 공감할 만한 일이네 진짜 ㄴㅋㅋㅋ 이제 밥먹으러 간당
난 쉰당,오늘 10시까지 쉅이야 ㅋㅋ 벌써 막막하더
나도 어늘 30분 넘어서 지믄 찍어서 점장님이 3시30분에 퇴근하래 조퇴하면 돈 깎인다고 그냥 30분 채우고 가래,ㅎㄹㅎㄹ 15분이 30분으 되는 마술
잉 나 지문 36분에 찍음 ㅋㅋㅋㅋㅅㅂ,에엥
30분 지각했음 시발,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
지하철 존나 늦게와서,15분이 아니구나
개열받어 근데도 안혼낸게 ㅅㅂ 천사야뭐야,ㅋㅋㅋㅋ
밥먹는중? 애기 나 이제 들어가용 남은시간 공부 열심히하구~~~ 조심해서 다녀용,알겠어용 자기도 고생해~ 도서관 공부 요쯤하고 슬슬 강의실가려구
웅웅 거생해또 아 시발 미니뚱땡이 또 설교해,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅁㅊ 미뜡 이제 간다고 짬질 시동 걸었어?
흐미 퇴근이다 얘네랑 의정부간대 시벌놈이 글서 경배 도너츠 먹고싶다해서 조금 사가서 잠깐 얼굴보고 코노갈까하는데 괜찮아??,고생했어 쟈기
잉 애기 쉅 벌써 끝났어??,아직 tmi꺼내서
앗,숨좀 돌리고있었어 자기 편한대로해
잉 나 이제 지하철타서 앉아서 가는중 잉 나 집가서 씻구 잠깐 얼굴보고올겡,네에 다녀오세요
응응 쉅끝나구 저나해용,넵 사랑 노래 위험해 자기한테 반하면 안되니까 조심해
ㅋㅋㅋㅋㅋㅋㅋ 알았어 이별노래만 부를게,흠 합격
ㅋㅋㅋ기여어 지쨔 자기야 나 지금 동네 도착했는데 장원이가 동네 거의 다와간다구 담배피자구 장원이 집 들어가 있으라고 해서 잠깐 들어와서 기다리고있어요 담배만 피고 얘기 좀 나누다가 집들어갈게용 이제 집가용 집도착!! 바로 씻거올겡,수업 끝났엉 알려줘서 고마워 6시 반까지 시간 있어서 도서관에서 공부 하게 자기 다 씻고 여유 생기면 전화줘
지금 나와쪄용 너래방도착 끝나구 다이소 들렸다가 카페와쪙 얘기하다가 자기 데리러갈겡,밖에 비와??
웅,많이 안오면 그냥 갈게 지하철 왕복만 1시간이야 알쥐? 나 지하철까지 가는 데 10분이면 되니까 비 와도 별로 안맞아
잉 빨리보구싶은데,나도 너무 보고싶어 얘기 실컷하구있어??
자기 이제 슬슬 출발하려구용,조심히 와요
응응! 자기 어디쪄 내가 찾아가볼게,오잉 지하철역 도착했어 ?
웅 어딘지말해죠 강의실,1번이 엘레베이터 있는곳 기억나?
웅 웅,거기서 잔디 운동장쪽으로 쭉 내려오면 건물하나 있어
오케오케,거기 도착하면 말해줘 자기
웅,나 거의 끝나가 좀만 기다려 자기
정답일까,어디야 ㅋㅋㅋㅋ 불상있는곳이야 ??
나 여기,더 내려와 볼래? 운동장 옆까지
웅웅 내려와써,ㄴㅏ 끝나서 내려가는중 잠만용
나여기,응
애기야 나 잘 도착했어요 깨워줘서 고마워 푹 잘 자고 일어나면 연락해줘 사랑해,엥 언제 갔지 기절해버렸어 ㅋㅋㅋㅋ 나 지금 일어났어요~
애기 ㅠㅠ 왤케 일찍 일어났어 ㅠ 자기 밤 샜잖아ㅠㅠ 나 지쨔 속상해,ㅋㅋㅋㅋㅋㅋㅋ 별로 안피곤해 괜찮아유
더 자 ㅠ 왤케 일찍 일어난거야 자기 서브웨이 시켜줄까? 먹고 공부하러갈래?,아니 ㅡㅡ
엥 눈 떡바로 안뜨냐?,ㅋㅋ
머가웃겨,씻고 미아리 가서 먹을껀데요
그러던가 바로 카페감? 밥먹고? 셤 몇시부턴데,셤 오날 하루안에 풀기..!
오천원은 또 뭐임 진짜 걍 오만원 보내줄까?,어제
그걸로 얻어먹을때마다 보낼래? 기분만 내게,20000원
아,보낸다고 했는데
ㅎㅎ,ㅠ.ㅠ
웅 고마어,나 속상해
아라쪄 나 까먹구있었떠 미아내 고마워 잘받을개 ㅔ,으응
웅 진짜 안피곤해?? 좀 더 자지ㅠㅠ,자지..?
ㅋ 나랑 생각하는거,ㅋㅋ
왤케 똑같냐,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
어이없넹,무야
나도 보내놓고 잦이? ㅇㅈㄹ하고있었는데,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 똑같뉴 자기 갈때 나 안꺄움?
웅 나 불고 안켜고 그 캔들 켜고 준비함 ㅋㅋㅋㅋㅋ 그러고 나가기전에 자기 한번 안아주고 뽀뽀해주거 나옴,해줄거 다해줬넹
웅웅 자기 근데 진짜 왜 안잤어ㅠㅠ 나 너무 미안하자나,3신가?
웅 우리 3시반에,자기 잘때가 그쯤이였나
자자 했을걸,음 자기 재우고 나도 자려고 했는디
잉 핸드폰 해써??,알람까지 1시간정도밖에 안남아서 그거 듣고 일어날바에 핸드폰했엉 잠도 안왔어 으 움직여야 되는데 침대가 너무 포근해
ㅌㅋㅋ 다먹어쪄 현지 다시 일하러가용 자기 나올때 내 인공눈물 한번만 챙겨줄수있나용,챙길게요 자기 여드름패치 써도돼?
응응 맘껏써,땡큐
거마워용,기본이죵 잘 다녀와 자기야 자기 저 이제 출발해요 미아리 도착해서 비빔밥 시켰어 벌써 시간이... 엉덩국과 전쟁하고 이제 도착했어요
잉 오늘 점장님 3시에 출근한다그래서 우리도 3시에 퇴근합니다ㅠㅠ,허허 아쉽지만 어쩔수가 없네 천천히 와 나 시험 3시 시작이얌
응응 천천히갈게 겅부하고있어용,넵
애기야 나 퇴근했어용 엘가로 갈게~~,오야 기다리구 있을게 원준이랑 동민이도 공부한다고 카페 왔어 다른자리앉았어
헉 ㅇㅋㅇㅋ 님아 3시에 셤 본다면서 왜 폰함?,지금 보는중이에용
웅 화이또~,옙!
31004533 tlsguswl1! HR서비스 들어가면 있어용 고마워용,오카이 바로 처리할게
히히 쟈기 체고,ㅋㅋㅋㅋㅋ 나야~ 잘 갔다와 쟈기
누구랑 통화중인교 박사장님~~~ 저 도착했어유~~~ 돈 많이 벌어올게유~~~~,힝 몸만 건강히 다녀오세요 저도 다먹고 일단 프린트하러 제노가요 제노왔는디 전좌석 프린트 안된다네 ㅋㅋㅋ 이따 집가서 해볼게
오잉 왜안대,물어봤는데 그냥 안된대..
우잉어쩔수없징 내가 담에 할게용 거마워용,피시방와서 겜중
웅 자기야 자기 어디 아픈데없어?? 나 매장이 추워서 그런지 모르겠는데 으슬으슬하구 머리가 자꾸 띵하네ㅠ,응 난 괜찮은데?? 이상하가 다 잠도 잘 잤는데 왜 아프려고 하지 ? 자기 아직도 아파??
점점 괜찮아지는것같아 ㅠㅠ 이제 머리 아픈건 좀 덜하네 감기걸리랴고하나 퇴근마렵다,휴
힝,퇴근시켜주세요 현지ㅠㅠ
그래도 지끈지끈해ㅠ 집가서 약 먹고 자야겠다,그러자 내일도 출근이니까 푹 자자
응응 게임 재미써??,계속 지구있어 ㅋㅋㅋ 이판만하고 카페 가게
잉 그래용 나 30분쯤 쉴 것같아요,곧이네 고생했어 자기
잉 점장님 쉬러가고 나 혼자 있어서 아메리카노에 꿀 타서 냐미중 ㅋㅅㅋ 개꿀,ㅋㅋㅋㅋㅋ 귀여워요 자기도 이렇게 열심히 하는데 나도 이따가 공부 빡세게해야지
잉 꿀메리카노 진심 꿀맛이넹 우리 베이글 새로 나와서 나 휴식시간에 그거 먹게 바질베이글 쉰닷! 베이글 냐미해야지,마싯는거 먹넹 나도 끝나서 이제 나가려구 다먹으면 말해 쟈기
나도 다먹어쪄 나가서 저나할게,넹
자기 나 이제 들어가용 공부 열심히해용,나 이제 나와서 밥먹으러가 ㅋㅋㅋㅋㅋ
응응 머먹게,스시쟁이에서 회덮밥시켰엉 인스타올렸네 쟈기 나도 보고싶어~
ㅋ 맞아?,그럼요 당연하죠 나 이제 공부하러가요~ 엘가도착해서 따듯한 캐모마일 티 시켰어 노래 불렀더니 목이 쉬었엉
웅 자래떠 퇴근마려워,ㅋㅋㅋㅋ 별일은 없나보네 잘하구있어 자기 오늘 하루도 거의 끝나가요
3시간,6시간이나 했다구??? 1/3밖에 안남았어유 쟈기
나 지금 쓰레기 버리러가는데 버리고 담배피래 ㅅㅂ 개좋아,함박웃음 지어버려 전화할래? 아니다 담배필때 전화줘 자기
오케바뤼,공부 다끝내고 자기 기다릴겸 다시 피시방가유..ㅎ
ㅋㅅㅋ,자기 나 지금 끝났어 돌곶이로 갈게
오케잉 나 채히항 저나중,오케이
어디,8출앞이욤
오켕,나 왔ㅅㅍ
나두 이거보ㅓ,잉 누군지알아
준서도 오빠 알고있대,?
라고할꺼 까 아니면,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
걍 읽씹할까 친했냐고 물어보니가 그땐그랬을거래 ㅋㅋ 싸웠다하지않음?,ㅇㅇ나랑은 안싸움
ㅇㅎ 자기야 ㅇㅇ,응?
넘 띠껍 ㅠ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,ㅋㅋㅋㅋㅋㅋㅋ 먄
ㅠㅠ 조심해줘~,응..
저나할래? 현지 자요,잘자요 자기 오늘하루 고생했어 나두 자러가 일어났어 어제 담배를 많이 펴서 그런가 목이 좀 부었어
잉 나 깼어,나갈때 전화할게
ㄷ ㄷ 양성이면 창고계단에 가두고 뭐 쓰라함 ㅋㅋㅌㅌㅋㅋㅋㅋ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 헐리 양성사람들이랑 같이 있는거 조심해 자기 마스크 잘쓰구
웅 걔네는 창고로 갇혀서 거ㅐㄴ찮아 ㅅㅂ 불러서 밖에 계단쪽 창고에 가둬버림 진료실 들어간 애기가 너무 아프다고 소리지르면서 울어서 나까지 무서운디 헉 내이름 불렀다 곧인가보ㅓ,드갔나 자기? 둑흔둑흔 우리 자기 어디갔어 왜 안와ㅜㅜ
아 ㅅㅂ 해줄것같이 이름 자꾸 부르는데 아직도 기다리는중임,이제 슬슬 준비해야되지않아?? 일단 더 기다려보게?
웅 12시에는 집에 가야돼 30분만 더,으.. 이렇게 노력하는데 제발 현지 검사해주세요ㅠ 싹싹비는중
내 앞에 두명 남음 ㅠㅠ 시발 ㅠㅠ 검사래떠 코 존나 아퍼,자기 불러서 간거야?? 병원찾아거 서 가구있어
응응 하 ㅠㅠㅠ 엄청 희미하대 ㅠ,괜찮아 자기야 걱정하지말구 연락 드렸어?
응응 무증상일거래 카톡드렸어 쉬는날이니까ㅜ전화는 안될것같아서 부점장님은 근무중인데 전화드릴까,그러자 전화드려서 말씀드리는게 나을 거같아 하구 약 받을거있으면 받고 집들어가서 푹 쉬자
웅 약은 안받아도 된다했는데 안아파서 받을ㅋ가? 부점장님한테 전화했는데 세상에나,응
아픈데는없어요? 이럼 ㅠ,ㅋㅋㅋㅋㅋㅋㅋ
시발 천사 ㅠ 죄송하다니까 아니라고 아무생각말고 쉬래ㅠ,와웅
ㅠㅠ좋은데 안좋아ㅠ,할렐루야 ㅋㅋㅋㅋㅋㅋㅋㅋ
걍 일하거싶어 ㅠ 자기도 못봐 ㅠ,부점장님이 말씀하신대로 걱정 안해두돼
웅,자기 쉬는것만 생각하자
웅 근데 나 엄청 희미하게 두줄이라서 전염성 ㅂㄹ 없을거래 자기 안옮았을수도있어 그래도 같이사는 가족들 검사받으라고 연락돌리래,난 옮아도 괜찮아
ㅠ,정말루~ 이제 집가고있어?
아니 ㅠ 대기 무한대기 이거쓰고 대기중 우리 아요미커플처럼 강제이별 하는거야?,ㅋㅋㅋㅋㅋㅋㅋㅋ큐ㅠ 절대 안되지
머가 안돼,양성 판정받으러간다! 가보자가보자
너 음성이면 이별이야 자갸 아 근데 양성 확실하겠지?,바로 집 쳐들어가
다른사란들꺼 막 양성받은사람 많아서,응 영향 받았을까봐?
막 오염된거아니겠지? 피씨알도,ㅋㅋㅋㅋㅋㅋㅋ
앞에 전염력 많이 넢은사람 검사하면 뒤에사람들도 다 양성나어ㅏ서 검사 다시 한대 높은사람,걱정되면 pcr한번더 받아볼래?
흠 그를까 받아도되나 둘이 같은거라고 했는데 씻고 받으러가볼래 아 근데 ㅅㅂ 목 존나 간지럽고 기침나오는거보면 양성이야 병원이야?,그러자 나 병원도착해서 접수했어
ㅋㅋㅅㅂ 헐 ㅇㅈㄹ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 당황스
점장쓰 어제 나랑 수다 존나 떨었구 커피 존나 마셨구,아 아앗..
같은 휴게실썼음,점장쓰 같이가자구??
검사받아보라함,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
오이오이 점장쓰 오래버텼다구,여기 있었구나~
ㅋㅌㅋㅋ아 ㅠㅠ,ㅋㅋㅋㅋㅋㅋ 이상하게 웃음이나오네
긍께,이젠 올게 왔구나 싶어
맞긴해 속시원하긴해 피씨알 받으러가도되냐고 물어보야겠다 희미하다니까 ㅅㅂ 안믿기네 ㅋㅋ 신속항원은 하루에 한번만 받을수있대 애기 검사 오래걸랴? 수업 안늦겠어?,안늦어요 지금 의사쌤이랑 한방에 앉아서 얘기듣느라 카톡 답 못했어 이따가 전화돼? 나 진짜 죽는줄 알았어
웅 나 나왔어 코로나 약은 공짜야 자기공부 화이팅,자기 심심하지 않도록 계속 카톡 할게
응응 고마워 그래도 수업 끝나구 연락해줘 씻고 할거하고있을게요,네엡 이제 수업시작합니다
웅야,자알 놀구 있어
아좌좌~~~,와자자 잠꾸러기 잘 잤는지 응답하라 난 끝났어 자기야 동네 가려구요
스발,헐랭 ㅋㅋㅋㅋㅋㅋㅋㅋ 대환장파티네
ㅅㅂ 눈치보여서 죄송하다함 근데 점장 저런얘기를 저렇게해도 ㄱㅊ은다 저기 민정매님도 있는데 ㅋㅋㅋㅋㅅㅂ 점장 가스라이팅중,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 미쳤습니다리
ㅠㅠ 밥먹으로갔음?,응 스시쟁이와서 오늘의초밥시켰어
자기가 조아하는거먹네 마니먹어 나이제씻을라궁,웅 자기 갔다와 어디가면 연락할게
마마짱한테 확진소식알렸더니 과일사다준대 키키 아주조아,크킄 ㅋㅋㅋㅋㅋㅋㅋㅋ 맘껏 누리소서 마님
엥 너무 많아 이게다 뭐야,응? 어머니가 벌써 가져다 주셨어?
이거 어케 다 먹어?? 너 가능해???,오잉 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 자기 푸파찍어야겠는디
아니 가져가라고 전화하니까 통화중이네 들어앉아서 할것도 없는데,짱많ㄴ네
먹기나하래 ㅋㅋㅋㅋㅋㅋㅅㅂ,ㅋㅋㅋㅋㅋ
아나 1키로 빠졌드라,안돼 저거 다먹어
다시 찌게생겼누 포도 먹고싶었는데,남김없이 다먹어 쟈기
기분조아 히히 아싸링 나 방청소중인데,응ㅇ
쓰레기만 다 내다놓고 뭐좀 먹어야겠다,고래
잉 공부얄심히해유,일도했겠다 맛있게머겅
녜 ㅠㅠ 전부 현지가 좋아하는거네 나 지짜 우러 고마워 자기,히히 다행이다 맘에 들어서 나 공부 다끝내서 ㅇ제 동민이랑 피시방가요
잉ㅠㅠ 고마어 다 놀구 저나해죠,알겠어요~
너모 마시써요,뿌듯하네 아프지마~
웅안아포 ㅠㅠ 또 잠오네 배부르다,이따 깨워줄게 코 자
헉 자기여 이거 조각난빵 뭐야 개맛있음 병원에서 준 약 먹고 텐텐도 머금,그거 제일 잘나가는 빵이래서 샀어 약도 먹고 잘했네 빈혈약도 포함이겠지? 지금은 뭐하구있어
빈햘약 아직 안머금 배불러 나 장원이한테ㅜ전화와서 전화하고왔어 내 스토리보고 탑승했냐고 저나옴,ㅋㅋㅋㅋㅋ
자기는 언제집가,나 2판정도 하구?? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 눈치가 없었네..
ㅠ,나도 걸려버려?? 이제 막판하구 간다으 귀욤아 전화 왜 안받아
몰라,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 많이 심심했어?
머가웃겨 안웃겨,ㅠㅡㅠ
게임이 그렇게 좋냐고 공부는 한시간하고 게임은 문닫을때까지하고,큼큼
현지 아픈데 너무해,내가 잘못했어.. 책은 좀 읽었어? 일어났어요
자기가 준 빵 냐미해야지,이재 다먹고 올라가유 도서관 도착해서 전화할게
융 나 병원약 먹으려구,오구오구 착하네
물약이 너무 고통스러어,자기가 나한테 말해준 거다
웅 자기 공부안허고 유튭보니?,잠깐봤어 잠깐..ㅎ 졸려서 잠깐 자고 공부 다시 하려고
아라쬬,마약쿠션에서 잤는데 옆 코골이가 너무 시끄러워서 깼어 다시 공부하러 가는즁..
ㅋㅋ자기 코골이에 깨는 내모습같네 나도 졸다가 깸,ㅋㅋㅋㅋㅋㅋㅋㅋ 고생했네 자기 더 잘려고했는데 코골이때문에 잠이 안오던데
ㅋㅅㅋ 자기랑 껴안고 자고싶다,나동 자기랑 자면 완전 합첸데 자기 자? 끝났어용~
자기야 약 사다죠,가글약 ?
응응 냉면시킴 마마가 누룽지랑 코감기약 사다준대 냉면도 오구 감기약이랑 누룽지도 와떠 밥먹어야징,잉 맛있게 먹어 자기 나도 이제 밥먹는다!
잉,다먹었남?
먹는중인디,오케바리
넌 다머금??,응 난 다먹었어 빨리 끝내구 갈게 자기 쉬고있어
잉자기 사랑해,나동 기운낼게
웅 자기 공부 다 끝나면 내가 재밌게해주께,일단 하나끝 가보자 가보자
가보자구!!,방금 원준이 전화받고 나가고있어 스트레스 풀자고 산책겸 노래방 🦞 끝나구 다시 집가려고 잔당 좋은 꿈꿔 쟈기
자기 나 깼어 일어나면 전화해줘,자?
아니,자기 자? 수업 일찍 끝나서 도서관 왔어
자다가 깼어 너 나랑 자는 날 짜글이 먹는거야 후참잘도 먹는거야,그려그려 다 먹자 우리 자기
히히 자기 나 깼어요 일어나서 양치했삼 원래 이시간에 불 안켜도 밝은데 어늘 왤케 흐리냐,비가 오려나봐요 잠은 다 깼어?
넹 약먹고 가글 하려고 양치부터 조져써 현지 빵시킴 쟈기랑 영화보면서 나눠먹게 ㅠ 나 커만 했는데 씹 양성임 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 자기 다시ㅜ생각해봐,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 어차피 오늘부터 4일동안 같이 있을건데 양성은 의미 없어 받아들여 자기
와 근데 ㄹㅇ 확진자는 ㄹㅇ 두줄이네 ㄷ ㄷ  목에는 하지도않음 머가 흐릿하다는거노 존나 허ㅏㄱ실한제,그러게 ㅋㅋㅋㅋ 자가진단 키트도 키트였구나..
장난감이 아니었어 자기는 항상 흔적을 남긴다니까,ㅋㅋ..큼 언제 또 생겼대 우리 자기 타투안해도 될만큼 내가 남겨줄게
우잉갑자기 그래두 타투는 할거야~ 진짜 남한테 관심 없기 1등이 ㅁ 근데 니 왜 읽씹하냐,얌얌
오 자기가 좋아하는 계란후라이도있네 맛있게먹오,국밥은 항상 옳아..
쵸마싯는 식사를 했나보군 프사 개못생긴 고양이로 바꾼 이유가 모야 ㅋㅋ 스케줄 박살 ㅠ 조짓다 ^^,헉헉 난리났넴 나 이제 끝났어
후후 책도 다 읽고 매뉴얼 공부도 다함 이제 자기만 오면 돼,아주 기특하구만 뽀뽀해줄게
그건 갠차나 💩 💩,들려..?
ㅋㅌㅌㅌㅋㅋㅋㅋㅋ,귀 막아줭..
ㅠ아 진짜 왤케 귀여워,나 원래 방구 이렇게 안나와
아니 하나도 못들었어 그냥 놀려주려고 보낸거야 걱정마 방구 많이 꼈나보네,ㅋ 금방 나가
자기 떵싸면서 노래불러? 잘부른다 같이 와줘소 고마워 쟈기,잉 큰일났어
왜,자리가 읎어 나 죽어
여자화장실 ㄱ 급하면 장애인화장실가,진짜진짜 죽어요 자기 석계도착했어 ??
석계 지났어 왜??,고냥요 살았다아 ㅋㅋㅋㅋㅋㅋ
ㅠㅠ 뭐 필요한줄알고 놀랐네 갈아타러왔어요 즐똥 내 앞사람이 내려서 앉아서 가는중 ㅎㅎ 사람 개많넹,Nace 난 사람 별로 없는디 자리에 다 앉아있어..
힝,짜잔 나도 앉았다
히히 다행 어떤사람 기침 오지게하니까 지하철 사람들 다 쳐다봐 난 지하철에서 걸린게 확실해,가까이 있어? 또 걸리면 혼난다
이닝 잉 내차례는 끝났어 자기야 넌 걸리면 감금이니까 조심해~ 후후 곧 내린다,ㅋㅋㅋㅋㅋㅋ 조심조심 나도 다음역 약수야 도착했어~
잉 애기 수업 열심히 들어용,끝났어 현지 적응은 잘하고있나?
적응완료 월욜 1교시 짱빨리 끝나네,잉 지금까지 배운거 시험에 안나온데 ㅋㅋㅋㅋㅋ 지금 밥먹으러왔어 수육 국밥 먹는당 다먹고 돌아다니는중
애기 수업 들어갔닝 나는 쪼꼼 바빴어 이제 쉬어용,예 마님 고생하셨어유' 쉅 끝나고 연락할게요ㅔㅇ
ㅋㅋㅋ넹~~ 고생해요 애깅,네엡
엥입니다 엥 다시들어갑니다잉,왜들어ㅏㄱ 왜 왜 왜들어가
ㅋㅋㅋㅋㅋ 25분에 끝이양 ㅠㅠ,아아.. 나 방금 끝났엉 이따봐..ㅍ 마지막 강ㅇㅣ 시작했어
웅야 좀만 더 고생해요 아 십할 이제 집 가고싶어요,오잉 통했다 나 강의 다끝났어 자기~~~ 도서관 가는중
후 한시간반 나 낼 쉰다 애기야,이 좌쉭~ 축하해 쟈기 자기 몇시에 끝날지 몰라서 6시 20분에 나갈게 나가는거 좀 늦었어 지금 가는중 시간 될거같아서 건대로갈게 자기 좀만 기다려줘 자기 바빠요?
자기 나 자굼 자다가깼능데 자기 집에 간거 완전 까먹고 자기가 없어서 너무 놀랐어ㅠ,ㅋㅋㅋㅋㅋㅋ 애기 많이 놀랬겠네 강의실 도오착 강의 끝났엉 햇빛좀 쐬다가 도서관 가려구
혹헉 난 준비중,일어났나보넴
현지가 더 빨리도착해씀 ㅎㅎ,욕시 자기 잘했어~
기달중,이뿌다 우리자기 잘 어울려
남자아이덜가타,멋짐까지?!?! 무야
웅 나 쫌 멋있네,잠만 안에 뭐입었어?자기
낫땅 띵,왜 속살이 보이는거 같지 응?
암것도~,ㅋㅋ
ㅋㅋ,단추여며야지
날이 좋아서 나 그런거 몰라,ㅋㅋ ㅋㅋ
ㅎㅎ,단추는 어떡하구 여며달라는데?
그게머야,그럼 외투라도 잘 입고있어 응?
아라쪄 쟈기 걱정마!! 채히만나쪄,그려 잘 놀다 들어오도록!
넵! 아인슈페너 맛집 사실 그냥 들어왔는데 맛집이여,오옹 자기가 좋아하는 꾸덕한 크림이야 ?
웅 마시쪄 ㅎㅎ,마싯게 먹엉 밥먹으러왔어요
웅 애기 나도 아제 밥 먹으러가요 히히 마싯게먹어 애기,자기가 젤 예뿌네 자기도 맛있게 먹어
응응 종각와서 쉑쉑버거 먹어요 아까 찍어써,가슴..내껀데..ㅁ
ㅋㅋ미안하대 냠 여기도 spc여서 할인받아쪄 채히가 머싯대 ㅋㅋ,미쳤다 쉑쉑도 spc라니 대단해 울자기 담배피고 쉅들어가유 spc 매니저님 다녀오겠습니다
헤헤 다녀와용 코노와쪄 스벅와쪄,나도 끝났으 담배피고 강의실 들어가려고
애기야 나 잘 일어나서 출근했어요 좀 더 푹 자고 학교 잘 다녀와요 오늘도 아좌좌,나도 일어났어 자기 가보자잇 학교가려고 나왔어
응응 조심해서 다녀와용 밥은 먹었어?,당근 먹었지 함박스테이크랑 같이 먹었어 자기는? 쉬는시간 곧 받아?
아닝 11시넘어ㅛㅓ 갈것같아용,잉..안 피곤해 자기?
응응 괜찮아요 애기 수업 열심히듣구와용,알겠어요 잘 갔다 올게 자기도 힘내요
넹~~~안나뷰 현지 쉬어유 애깅 나 들어가용 밥 맛있게먹구 수업 잘 듣구왕,갔다와 자기 나 밥다먹고 중도에서 한숨자게
수업 잘 들어갔어?,응 지금 쉅 듣고있어 수업 끝났다아
나도 퇴근 퇴근해따고 나 장원이집 와떠 담배피고 집가겡,알겠슙니다
집에 양의영도 있어서 집에서 셋이 얘기 좀 하다가 담배피구 이제 집 가용,네엡 나도 자기 보고싶은데 ㅠㅠ
언능 끝내구 와용 나 집들어왔어용,끝났어!!
잉 자기 ㅠㅠ 고생해써 비오는데 괜찮아?? 돌곶이역으로 마중갈게,밖에 비 그쳤어용 누워서 자구있어
오잉 나 방금 담배피거왔는데 비오던데,응 응?
너 오딘데??,나 지하철역 많이 안오면 그냥 갈게
왔다안왔다 하나봐 너 옷 뭐입었어,패딩이욤 더워더워
흠냐흠냐 애기 저녁 뭐먹고시퍼??,밥.. 덮덮밥..?
구러면 와서 같이 시키져 쟈 짜글이는 어땡?,짜글이더 너무좋지
오케잉 마중안가두 갠차나??,고럼 쉬고있어 자기 내가 갈게
지금 무슨역이야?,동대입구역 귀욤아
웅,인스타 올렸구나
구래 방금올려따,잘했다!
ㅋㅋ,기분이가 좋아지네
니가 더 귀요미다 아 우리 아요미 봐야대,맞다맞다 기대된다
웅 나 채히랑 저나하구이써,잉 거의다왔오 담배 필거야??
구랭 너 어딘뎅,알통떡강정 이야
